product_name,frisch,teigig,file
224,4,0,20230213
385,2,0,20230213
499,1,0,20230213
550,4,0,20230213
551,2,0,20230213
693,3,0,20230213
701,1,0,20230213
785,1,0,20230213
787,2,0,20230213
868,2,0,20230213
870,1,0,20230213
2010,0,2,20230213
2012,0,2,20230213
2149,1,0,20230213
2272,1,0,20230213
2302,1,0,20230213
206,1,0,20230213
449,1,0,20230213
450,1,0,20230213
117,2,2,20230213
196,2,2,20230213
227,4,0,20230213
258,2,0,20230213
288,2,2,20230213
492,3,2,20230213
906,6,6,20230213
309,6,0,20230213
381,2,0,20230213
113,15,0,20230213
118,6,0,20230213
119,20,0,20230213
123,4,0,20230213
124,12,0,20230213
129,4,0,20230213
140,6,0,20230213
209,8,0,20230213
268,4,0,20230213
285,6,0,20230213
417,15,0,20230213
418,8,0,20230213
419,8,0,20230213
428,8,0,20230213
458,6,0,20230213
2113,2,0,20230213
2119,2,0,20230213
2124,1,0,20230213
2129,1,0,20230213
2152,1,0,20230213
2368,1,0,20230213
2417,1,0,20230213
2418,1,0,20230213
2444,2,0,20230213
2453,1,0,20230213
139,10,0,20230213
110,4,0,20230213
116,8,0,20230213
125,2,10,20230213
126,2,8,20230213
130,2,6,20230213
132,2,8,20230213
133,2,8,20230213
134,2,6,20230213
151,12,0,20230213
172,2,4,20230213
173,10,0,20230213
191,30,0,20230213
198,4,7,20230213
201,12,0,20230213
241,8,48,20230213
308,2,4,20230213
324,8,0,20230213
363,8,12,20230213
368,8,0,20230213
406,2,5,20230213
415,2,5,20230213
453,8,0,20230213
494,6,0,20230213
691,6,0,20230213
2110,1,0,20230213
128,2,0,20230213
230,2,0,20230213
269,2,0,20230213
278,2,0,20230213
365,2,0,20230213
425,2,0,20230213
504,2,0,20230213
508,2,0,20230213
538,4,0,20230213
824,1,0,20230213
928,3,0,20230213
929,3,0,20230213
1185,1,0,20230213
1367,1,0,20230213
357,2,0,20230213
1623,1,0,20230213
224,4,0,20230214
265,4,0,20230214
266,4,0,20230214
385,2,0,20230214
391,2,0,20230214
499,2,0,20230214
550,5,0,20230214
551,2,0,20230214
555,2,0,20230214
556,2,0,20230214
693,2,0,20230214
701,1,0,20230214
787,2,0,20230214
868,2,0,20230214
870,2,0,20230214
2010,0,2,20230214
2012,0,2,20230214
206,1,0,20230214
449,0,0,20230214
450,1,0,20230214
117,0,2,20230214
196,1,2,20230214
227,4,0,20230214
258,1,0,20230214
288,2,2,20230214
492,0,2,20230214
906,6,6,20230214
262,6,0,20230214
815,6,0,20230214
118,6,0,20230214
123,4,0,20230214
129,4,0,20230214
140,6,0,20230214
268,3,0,20230214
285,8,0,20230214
428,6,0,20230214
458,6,0,20230214
2113,2,0,20230214
2116,1,0,20230214
2119,2,0,20230214
2124,1,0,20230214
2129,1,0,20230214
2152,2,0,20230214
2368,1,0,20230214
2417,1,0,20230214
2444,2,0,20230214
2453,1,0,20230214
139,10,0,20230214
116,6,0,20230214
125,2,10,20230214
126,2,7,20230214
130,2,6,20230214
132,2,8,20230214
133,2,7,20230214
134,2,6,20230214
151,12,0,20230214
172,2,4,20230214
173,10,0,20230214
191,40,0,20230214
198,2,7,20230214
201,12,0,20230214
308,2,4,20230214
324,8,0,20230214
363,6,12,20230214
368,8,0,20230214
406,3,5,20230214
415,3,5,20230214
453,8,0,20230214
494,6,0,20230214
691,6,0,20230214
2110,1,0,20230214
2324,1,0,20230214
425,6,0,20230214
929,1,0,20230214
357,8,0,20230214
224,4,0,20230215
266,2,0,20230215
385,2,0,20230215
499,1,0,20230215
550,5,0,20230215
551,1,0,20230215
693,2,0,20230215
787,2,0,20230215
868,2,0,20230215
2010,0,3,20230215
2012,0,2,20230215
2149,1,0,20230215
2272,1,0,20230215
2302,1,0,20230215
206,1,0,20230215
449,0,0,20230215
450,0,0,20230215
117,1,2,20230215
196,2,2,20230215
227,4,0,20230215
258,1,0,20230215
288,0,2,20230215
492,2,2,20230215
906,6,6,20230215
242,3,0,20230215
309,12,0,20230215
381,2,0,20230215
113,15,0,20230215
118,16,0,20230215
119,20,0,20230215
123,4,0,20230215
124,18,0,20230215
129,12,0,20230215
140,8,0,20230215
209,6,0,20230215
268,4,0,20230215
285,8,0,20230215
369,20,0,20230215
417,15,0,20230215
418,6,0,20230215
419,8,0,20230215
428,6,0,20230215
458,6,0,20230215
2113,2,0,20230215
2116,1,0,20230215
2119,2,0,20230215
2124,1,0,20230215
2129,1,0,20230215
2152,2,0,20230215
2209,1,0,20230215
2417,2,0,20230215
2418,1,0,20230215
2419,1,0,20230215
2444,1,0,20230215
139,10,0,20230215
110,14,0,20230215
125,4,8,20230215
126,4,6,20230215
130,4,4,20230215
132,4,6,20230215
133,4,6,20230215
134,4,4,20230215
151,12,0,20230215
172,4,2,20230215
173,10,0,20230215
191,40,0,20230215
198,4,5,20230215
201,15,0,20230215
241,8,24,20230215
308,8,2,20230215
324,10,0,20230215
363,8,12,20230215
368,4,0,20230215
406,4,2,20230215
415,4,3,20230215
453,6,0,20230215
494,6,0,20230215
691,4,0,20230215
2110,3,0,20230215
230,2,0,20230215
365,2,0,20230215
508,1,0,20230215
824,1,0,20230215
928,2,0,20230215
929,1,0,20230215
774,1,0,20230215
776,1,0,20230215
777,1,0,20230215
778,1,0,20230215
224,4,0,20230216
385,2,0,20230216
499,2,0,20230216
550,3,0,20230216
551,2,0,20230216
693,2,0,20230216
785,1,0,20230216
787,2,0,20230216
868,2,0,20230216
2010,0,1,20230216
2149,1,0,20230216
2302,1,0,20230216
206,0,0,20230216
449,0,0,20230216
117,0,2,20230216
196,0,2,20230216
227,3,0,20230216
258,2,0,20230216
288,0,2,20230216
492,0,2,20230216
906,3,6,20230216
